WorkID	ChapterID	Section	Chapter	Description
allswell	24908	1	1	Rousillon. The COUNT's palace.
allswell	24909	1	2	Paris. The KING's palace.
allswell	24910	1	3	Rousillon. The COUNT's palace.
allswell	24911	2	1	Paris. The KING's palace.
allswell	24912	2	2	Rousillon. The COUNT's palace.
allswell	24913	2	3	Paris. The KING's palace.
allswell	24914	2	4	Paris. The KING's palace.
allswell	24915	2	5	Paris. The KING's palace.
allswell	24916	3	1	Florence. The DUKE's palace.
allswell	24917	3	2	Rousillon. The COUNT's palace.
allswell	24918	3	3	Florence. Before the DUKE's palace.
allswell	24919	3	4	Rousillon. The COUNT's palace.
allswell	24920	3	5	Florence. Without the walls. A tucket afar off.
allswell	24921	3	6	Camp before Florence.
allswell	24922	3	7	Florence. The Widow's house.
allswell	24923	4	1	Without the Florentine camp.
allswell	24924	4	2	Florence. The Widow's house.
allswell	24925	4	3	The Florentine camp.
allswell	24926	4	4	Florence. The Widow's house.
allswell	24927	4	5	Rousillon. The COUNT's palace.
allswell	24928	5	1	Marseilles. A street.
allswell	24929	5	2	Rousillon. Before the COUNT's palace.
allswell	24930	5	3	Rousillon. The COUNT's palace.
antonycleo	24931	1	1	Alexandria. A room in CLEOPATRA's palace.
antonycleo	24932	1	2	The same. Another room.
antonycleo	24933	1	3	The same. Another room.
antonycleo	24934	1	4	Rome. OCTAVIUS CAESAR's house.
antonycleo	24935	1	5	Alexandria. CLEOPATRA's palace.
antonycleo	24936	2	1	Messina. POMPEY's house.
antonycleo	24937	2	2	Rome. The house of LEPIDUS.
antonycleo	24938	2	3	The same. OCTAVIUS CAESAR's house.
antonycleo	24939	2	4	The same. A street.
antonycleo	24940	2	5	Alexandria. CLEOPATRA's palace.
antonycleo	24941	2	6	Near Misenum.
antonycleo	24942	2	7	On board POMPEY's galley, off Misenum.
antonycleo	24943	3	1	A plain in Syria.
antonycleo	24944	3	2	Rome. An ante-chamber in OCTAVIUS CAESAR's house.
antonycleo	24945	3	3	Alexandria. CLEOPATRA's palace.
antonycleo	24946	3	4	Athens. A room in MARK ANTONY's house.
antonycleo	24947	3	5	The same. Another room.
antonycleo	24948	3	6	Rome. OCTAVIUS CAESAR's house.
antonycleo	24949	3	7	Near Actium. MARK ANTONY's camp.
antonycleo	24950	3	8	A plain near Actium.
antonycleo	24951	3	9	Another part of the plain.
antonycleo	24952	3	10	Another part of the plain.\n
antonycleo	24953	3	11	Alexandria. CLEOPATRA's palace.\n
antonycleo	24954	3	12	Egypt. OCTAVIUS CAESAR's camp.\n
antonycleo	24955	3	13	Alexandria. CLEOPATRA's palace.\n
antonycleo	24956	4	1	Before Alexandria. OCTAVIUS CAESAR's camp.
antonycleo	24957	4	2	Alexandria. CLEOPATRA's palace.
antonycleo	24958	4	3	The same. Before the palace.
antonycleo	24959	4	4	The same. A room in the palace.
antonycleo	24960	4	5	Alexandria. MARK ANTONY's camp.
antonycleo	24961	4	6	Alexandria. OCTAVIUS CAESAR's camp.
antonycleo	24962	4	7	Field of battle between the camps.
antonycleo	24963	4	8	Under the walls of Alexandria.
antonycleo	24964	4	9	OCTAVIUS CAESAR's camp.
antonycleo	24965	4	10	Between the two camps.\n
antonycleo	24966	4	11	Another part of the same.\n
antonycleo	24967	4	12	Another part of the same.\n
antonycleo	24968	4	13	Alexandria. Cleopatra's palace.\n
antonycleo	24969	4	14	The same. Another room.\n
antonycleo	24970	4	15	The same. A monument.\n
antonycleo	24971	5	1	Alexandria. OCTAVIUS CAESAR's camp.
antonycleo	24972	5	2	Alexandria. A room in the monument.
asyoulikeit	24973	1	1	Orchard of OLIVER'S house
asyoulikeit	24974	1	2	A lawn before the DUKE'S palace
asyoulikeit	24975	1	3	The DUKE's palace
asyoulikeit	24976	2	1	The Forest of Arden
asyoulikeit	24977	2	2	The DUKE'S palace
asyoulikeit	24978	2	3	Before OLIVER'S house
asyoulikeit	24979	2	4	The Forest of Arden
asyoulikeit	24980	2	5	Another part of the forest
asyoulikeit	24981	2	6	The forest
asyoulikeit	24982	2	7	The forest
asyoulikeit	24983	3	1	The palace
asyoulikeit	24984	3	2	The forest
asyoulikeit	24985	3	3	The forest
asyoulikeit	24986	3	4	The forest
asyoulikeit	24987	3	5	Another part of the forest
asyoulikeit	24988	4	1	The forest
asyoulikeit	24989	4	2	The forest
asyoulikeit	24990	4	3	The forest
asyoulikeit	24991	5	1	The forest
asyoulikeit	24992	5	2	The forest
asyoulikeit	24993	5	3	The forest
asyoulikeit	24994	5	4	The forest
comedyerrors	24995	1	1	A hall in DUKE SOLINUS'S palace.
comedyerrors	24996	1	2	The Mart.
comedyerrors	24997	2	1	The house of ANTIPHOLUS of Ephesus.
comedyerrors	24998	2	2	A public place.
comedyerrors	24999	3	1	Before the house of ANTIPHOLUS of Ephesus.
comedyerrors	25000	3	2	The same.
comedyerrors	25001	4	1	A public place.
comedyerrors	25002	4	2	The house of ANTIPHOLUS of Ephesus.
comedyerrors	25003	4	3	A public place.
comedyerrors	25004	4	4	A street.
comedyerrors	25005	5	1	A street before a Priory.
coriolanus	25006	1	1	Rome. A street.
coriolanus	25007	1	2	Corioli. The Senate-house.
coriolanus	25008	1	3	Rome. A room in CORIOLANUS' house.
coriolanus	25009	1	4	Before Corioli.
coriolanus	25010	1	5	Corioli. A street.
coriolanus	25011	1	6	Near the camp of Cominius.
coriolanus	25012	1	7	The gates of Corioli.
coriolanus	25013	1	8	A field of battle.
coriolanus	25014	1	9	The Roman camp.
coriolanus	25015	1	10	The camp of the Volsces.\n
coriolanus	25016	2	1	Rome. A public place.
coriolanus	25017	2	2	The same. The Capitol.
coriolanus	25018	2	3	The same. The Forum.
coriolanus	25019	3	1	Rome. A street.
coriolanus	25020	3	2	A room in CORIOLANUS'S house.
coriolanus	25021	3	3	The same. The Forum.
coriolanus	25022	4	2	The same. A street near the gate.
coriolanus	25023	4	3	A highway between Rome and Antium.
coriolanus	25024	4	4	Antium. Before Aufidius's house.
coriolanus	25025	4	5	The same. A hall in Aufidius's house.
coriolanus	25026	4	6	Rome. A public place.
coriolanus	25027	4	7	A camp, at a small distance from Rome.
coriolanus	25028	5	1	Rome. A public place.
coriolanus	25029	5	2	Entrance of the Volscian camp before Rome.
coriolanus	25030	5	3	The tent of Coriolanus.
coriolanus	25031	5	4	Rome. A public place.
coriolanus	25032	5	5	The same. A street near the gate.
coriolanus	25033	5	6	Antium. A public place.
cymbeline	25034	1	1	Britain. The garden of Cymbeline's palace.
cymbeline	25035	1	2	The same. A public place.
cymbeline	25036	1	3	A room in Cymbeline's palace.
cymbeline	25037	1	4	Rome. Philario's house.
cymbeline	25038	1	5	Britain. A room in Cymbeline's palace.
cymbeline	25039	1	6	The same. Another room in the palace.
cymbeline	25040	2	1	Britain. Before Cymbeline's palace.
cymbeline	25041	2	2	Imogen's bedchamber in Cymbeline's palace:
cymbeline	25042	2	3	An ante-chamber adjoining Imogen's apartments.
cymbeline	25043	2	4	Rome. Philario's house.
cymbeline	25044	2	5	Another room in Philario's house.
cymbeline	25045	3	1	Britain. A hall in Cymbeline's palace.
cymbeline	25046	3	2	Another room in the palace.
cymbeline	25047	3	3	Wales: a mountainous country with a cave.
cymbeline	25048	3	4	Country near Milford-Haven.
cymbeline	25049	3	5	A room in Cymbeline's palace.
cymbeline	25050	3	6	Wales. Before the cave of Belarius.
cymbeline	25051	3	7	Rome. A public place.
cymbeline	25052	4	1	Wales: near the cave of Belarius.
cymbeline	25053	4	2	Before the cave of Belarius.
cymbeline	25054	4	3	A room in Cymbeline's palace.
cymbeline	25055	4	4	Wales: before the cave of Belarius.
cymbeline	25056	5	1	Britain. The Roman camp.
cymbeline	25057	5	2	Field of battle between the British and Roman camps.
