QuotationID	QuotationText	Location
34084923	I would fain die a dry death.	<i>The Tempest</i>, Act I Scene 1
34084924	Now would I give a thousand furlongs of sea for an acre of barren ground.	<i>The Tempest</i>, Act I Scene 1
34084925	What seest thou else<br>In the dark backward and abysm of time?	<i>The Tempest</i>, Act I Scene 2
34084926	I, thus neglecting worldly ends, all dedicated<br>To closeness and the bettering of my mind.	<i>The Tempest</i>, Act I Scene 2
34084927	Like one<br>Who having into truth, by telling of it,<br>Made such a sinner of his memory,<br>To credit his own lie.	<i>The Tempest</i>, Act I Scene 2
34084928	My library<br>Was dukedom large enough.	<i>The Tempest</i>, Act I Scene 2
34084929	Knowing I lov'd my books, he furnish'd me<br>From mine own library with volumes that<br>I prize above my dukedom.	<i>The Tempest</i>, Act I Scene 2
34084930	From the still-vexed Bermoothes.	<i>The Tempest</i>, Act I Scene 2
34084931	I will be correspondent to command,<br>And do my spiriting gently.	<i>The Tempest</i>, Act I Scene 2
34084932	Fill all thy bones with aches.	<i>The Tempest</i>, Act I Scene 2
34084933	Come unto these yellow sands,<br>  And then take hands:<br>Courtsied when you have, and kiss'd<br>  The wild waves whist.	<i>The Tempest</i>, Act I Scene 2
34084934	Full fathom five thy father lies;<br>  Of his bones are coral made;<br>Those are pearls that were his eyes:<br>  Nothing of him that doth fade<br>But doth suffer a sea-change<br>Into something rich and strange.	<i>The Tempest</i>, Act I Scene 2
34084935	The fringed curtains of thine eye advance.	<i>The Tempest</i>, Act I Scene 2
34084936	There's nothing ill can dwell in such a temple:<br>If the ill spirit have so fair a house,<br>Good things will strive to dwell with't.	<i>The Tempest</i>, Act I Scene 2
34084937	Gon. Here is everything advantageous to life.<br>Ant. True; save means to live.	<i>The Tempest</i>, Act II Scene 1
34084938	A very ancient and fish-like smell.	<i>The Tempest</i>, Act II Scene 2
34084939	Misery acquaints a man with strange bedfellows.	<i>The Tempest</i>, Act II Scene 2
34084940	Fer. Here's my hand.<br>Mir. And mine, with my heart in't.	<i>The Tempest</i>, Act III Scene 1
34084941	He that dies pays all debts.	<i>The Tempest</i>, Act III Scene 2
34084942	A kind<br>Of excellent dumb discourse.	<i>The Tempest</i>, Act III Scene 3
34084943	Deeper than e'er plummet sounded.	<i>The Tempest</i>, Act III Scene 3
34084944	With foreheads villanous low.	<i>The Tempest</i>, Act IV Scene 1
34084945	Deeper than did ever plummet sound<br>I'll drown my book.	<i>The Tempest</i>, Act V Scene 1
34084946	Where the bee sucks, there suck I;<br>In a cowslip's bell I lie.	<i>The Tempest</i>, Act V Scene 1
34084947	Merrily, merrily shall I live now,<br>Under the blossom that hangs on the bough.	<i>The Tempest</i>, Act V Scene 1
