WordFormID	PlainText	PhoneticText	StemText	Occurences
763487	the	0	the	28944
763488	and	ANT	and	27317
763489	i	I	i	21120
763490	to	T	to	20136
763491	of	OF	of	17181
763492	a	A	a	14945
763493	you	Y	you	13989
763494	my	M	my	12949
763495	in	IN	in	11513
763496	that	0T	that	11488
763497	is	IS	i	9545
763498	not	NT	not	8855
763499	with	W0	with	8293
763500	me	M	me	8043
763501	it	IT	it	8003
763502	for	FR	for	7982
763503	his	HS	hi	7330
763504	be	B	be	7166
763505	this	0S	thi	6910
763506	your	YR	your	6865
763507	he	H	he	6672
763508	but	BT	but	6616
763509	have	HF	have	6088
763510	as	AS	a	6048
763511	thou	0	thou	5782
763512	him	HM	him	5415
763513	so	S	so	5348
763514	will	WL	will	5166
763515	what	HT	what	4668
763516	her	HR	her	4367
763517	thy	0	thy	4266
763518	all	AL	all	4010
763519	no	N	no	3969
763520	by	B	by	3961
763521	do	T	do	3894
763522	shall	XL	shall	3728
763523	if	IF	if	3679
763524	are	AR	ar	3575
763525	we	W	we	3424
763526	thee	0	thee	3378
763527	on	ON	on	3204
763528	our	OR	our	3161
763529	now	N	now	2933
763530	good	KT	good	2890
763531	from	FRM	from	2830
763532	lord	LRT	lord	2769
763533	o	O	o	2746
763534	she	X	she	2633
763535	at	AT	at	2629
763536	they	0	thei	2627
763537	sir	SR	sir	2598
763538	come	KM	come	2596
763539	or	OR	or	2562
763540	which	HX	which	2501
763541	more	MR	more	2418
763542	would	WLT	would	2410
763543	was	WS	wa	2366
763544	then	0N	then	2332
763545	their	0R	their	2278
763546	how	H	how	2270
763547	well	WL	well	2245
763548	am	AM	am	2218
763549	here	HR	here	2215
763550	love	LF	love	2191
763551	let	LT	let	2182
763552	when	HN	when	2174
763553	enter	ENTR	enter	2102
763554	them	0M	them	2083
763555	hath	H0	hath	2035
763556	than	0N	than	1947
763557	one	ON	on	1912
763558	there	0R	there	1888
763559	like	LK	like	1879
763560	man	MN	man	1840
763561	an	AN	an	1835
763562	upon	UPN	upon	1811
763563	i'll	IL	ill	1805
763564	go	K	go	1763
763565	did	TT	did	1751
763566	make	MK	make	1731
763567	may	M	mai	1728
763568	say	S	sai	1726
763569	know	N	know	1714
763570	yet	YT	yet	1687
763571	us	US	u	1678
763572	were	WR	were	1662
763573	should	XLT	should	1654
763574	must	MST	must	1563
763575	king	KNK	king	1546
763576	why	H	why	1537
763577	had	HT	had	1521
763578	see	S	see	1507
763579	such	SX	such	1472
763580	tis	TS	ti	1439
763581	out	OT	out	1431
763582	some	SM	some	1403
763583	give	JF	give	1385
763584	these	0S	these	1377
763585	where	HR	where	1352
763586	who	H	who	1319
763587	too	T	too	1304
763588	can	KN	can	1285
763589	take	TK	take	1238
763590	mine	MN	mine	1230
763591	most	MST	most	1210
763592	speak	SPK	speak	1193
763593	up	UP	up	1124
763594	time	TM	time	1100
763595	tell	TL	tell	1096
763596	doth	T0	doth	1081
763597	never	NFR	never	1075
763598	exeunt	EKSNT	exeunt	1065
763599	much	MX	much	1064
763600	think	0NK	think	1059
763601	heart	HRT	heart	1047
763602	nor	NR	nor	1028
763603	exit	EKST	exit	977
763604	art	ART	art	964
763605	great	KRT	great	924
763606	death	T0	death	918
763607	hear	HR	hear	913
763608	men	MN	men	900
763609	away	AW	awai	898
763610	life	LF	life	890
763611	hand	HNT	hand	888
763612	look	LK	look	869
763613	made	MT	made	863
763614	father	F0R	father	854
763615	sweet	SWT	sweet	840
763616	fair	FR	fair	839
763617	thus	0S	thu	830
763618	true	TR	true	830
763619	very	FR	veri	822
763620	any	AN	ani	817
763621	own	ON	own	811
763622	again	AKN	again	804
763623	god	KT	god	796
763624	cannot	KNT	cannot	794
763625	master	MSTR	master	785
763626	eyes	EYS	ey	785
763627	ay	A	ai	771
763628	before	BFR	befor	769
763629	pray	PR	prai	759
763630	day	T	dai	745
763631	being	BNK	be	738
763632	been	BN	been	736
763633	night	NFT	night	703
763634	two	TW	two	702
763635	done	TN	done	691
763636	lady	LT	ladi	690
763637	other	O0R	other	684
763638	poor	PR	poor	683
763639	name	NM	name	683
763640	leave	LF	leav	679
763641	fear	FR	fear	678
763642	whose	HS	whose	679
763643	down	TN	down	673
763644	blood	BLT	blood	673
763645	though	0	though	671
763646	old	OLT	old	668
763647	till	TL	till	667
763648	could	KLT	could	662
763649	heaven	HFN	heaven	655
763650	nothing	N0NK	noth	654
763651	world	WRLT	world	653
763652	therefore	0RFR	therefor	652
763653	honour	HNR	honour	651
763654	into	INT	into	650
763655	both	B0	both	644
763656	even	EFN	even	639
763657	comes	KMS	come	637
763658	ever	EFR	ever	636
763659	son	SN	son	629
763660	noble	NBL	nobl	628
763661	myself	MSLF	myself	620
763662	better	BTR	better	614
763663	hast	HST	hast	614
763664	still	STL	still	614
763665	against	AKNST	against	608
763666	nay	N	nai	602
763667	grace	KRS	grace	595
763668	many	MN	mani	593
763669	those	0S	those	590
763670	call	KL	call	587
763671	way	W	wai	586
763672	dead	TT	dead	586
763673	every	EFR	everi	585
763674	stand	STNT	stand	580
763675	duke	TK	duke	570
763676	first	FRST	first	570
763677	bear	BR	bear	563
763678	live	LF	live	557
763679	peace	PS	peac	547
763680	find	FNT	find	545
763681	might	MFT	might	539
763682	queen	KN	queen	538
763683	brother	BR0R	brother	536
763684	head	HT	head	526
763685	madam	MTM	madam	518
763686	put	PT	put	512
763687	word	WRT	word	509
763688	little	LTL	littl	510
763689	die	T	die	507
763690	within	W0N	within	506
763691	keep	KP	keep	505
763692	off	OF	off	503
763693	none	NN	none	501
763694	thine	0N	thine	489
763695	himself	HMSLF	himself	487
763696	friends	FRNTS	friend	486
763697	thing	0NK	thing	486
763698	set	ST	set	483
763699	gone	KN	gone	483
763700	long	LNK	long	483
763701	wife	WF	wife	482
763702	eye	EY	ey	479
763703	since	SNS	sinc	478
763704	hold	HLT	hold	477
763705	mistress	MSTRS	mistress	473
763706	part	PRT	part	472
763707	face	FS	face	468
763708	best	BST	best	468
763709	bring	BRNK	bring	467
763710	whom	HM	whom	466
763711	dear	TR	dear	463
763712	young	YNK	young	463
763713	unto	UNT	unto	462
763714	soul	SL	soul	454
763715	dost	TST	dost	447
